Title,Author l-f,My Rating,Average Rating,AvgRatingRnd,Publisher,Number of Pages,PagesRnd,Original Publication Year,PubDecade,Date Added,Exclusive Shelf,
I Can Read With My Eyes Shut!,"Seuss, Dr.",2,4.03,4,HarperCollins,48,50,1978,1980,4/8/08,read,
The Sleep Book,"Seuss, Dr.",4,4.05,4,Random House,64,60,1962,1960,4/8/08,read,
Marvin K. Mooney Will You Please Go Now!,"Seuss, Dr.",5,3.91,4,Random House,64,60,1972,1970,4/8/08,read,
The Cat in the Hat,"Seuss, Dr.",5,4.12,4,Random House,72,70,1957,1960,4/8/08,read,
In a People House,"Seuss, Dr.",2,4.05,4,Random House,36,40,1972,1970,4/8/08,read,
Horton Hears a Who!,"Seuss, Dr.",3,4.11,4,Random House,64,60,1954,1950,4/8/08,read,
Green Eggs and Ham,"Seuss, Dr.",5,4.32,4,Random House,62,60,1960,1960,4/8/08,read,
Biomedical Informatics: Computer Applications in Health Care and Biomedicine,"Shortliffe, Edward H.",3,3.86,4,Springer,1037,1000,2006,2010,10/30/08,read,
Some Experiences of an Irish R.M.,"Somerville, E.Å’.",0,3.67,4,J. S. Sanders and Company,288,300,1899,1900,3/15/12,to-read,
"Maus, Vol. 1: My Father Bleeds History","Spiegelman, Art",4,4.35,4,Pantheon,160,200,1986,1990,3/15/12,read,
The Man Who Loved Children,"Stead, Christina",3,3.66,4,Picador,576,600,1940,1940,3/15/12,read,
Traditional Irish Fairy Tales,"Stephens, James",5,3.75,4,MacMillan,256,300,1920,1920,4/8/08,read,
The Crock of Gold (Revised Edtion),"Stephens, James",5,4.07,4,MacMillan,116,100,1912,1910,4/8/08,read,
Deirdre,"Stephens, James",5,3.55,4,MacMillan,300,300,1923,1920,4/8/08,read,
The Demi-gods,"Stephens, James",5,4.33,4,MacMillan,316,300,1914,1910,4/8/08,read,
The Charwoman's Daughter,"Stephens, James",5,3.85,4,MacMillan,200,200,1912,1910,4/8/08,read,
A Secular Age,"Taylor, Charles",0,4.15,4,Belknap Press,874,900,2007,2010,9/5/12,currently-reading,
Hegel,"Taylor, Charles",4,3.83,4,Cambridge University Press,596,600,1975,1980,9/5/12,read,
Sources of the Self: The Making of the Modern Identity,"Taylor, Charles",5,4.18,4,Harvard University Press,624,600,1989,1990,9/5/12,read,
Collected Poems,"Thomas, Dylan",5,4.2,4,New Directions Publishing Corporation,203,200,1952,1950,4/8/08,read,
Mysticism: A Study in the Nature and Development of Spiritual Consciousness,"Underhill, Evelyn",0,4.08,4,Digireads.com,356,400,1911,1910,3/15/12,to-read,
"Fables, Vol. 1: Legends in Exile","Willingham, Bill",3,4.08,4,Vertigo,128,100,2002,2000,3/15/12,read,
Playing and Reality,"Winnicott, Donald Woods",5,4.23,4,Routledge,214,200,1971,1970,10/30/08,read,
Philosophical Investigations,"Wittgenstein, Ludwig",5,4.28,4,"Blackwell Publishing, Inc.",464,500,1953,1950,10/30/08,read,
The Blue and Brown Books,"Wittgenstein, Ludwig",5,4.08,4,Harper Perennial,208,200,1921,1920,10/30/08,read,
On Certainty,"Wittgenstein, Ludwig",5,4.16,4,Perennial/Harper & Row (NYC),194,200,1969,1970,10/30/08,read,
Tractatus Logico-Philosophicus,"Wittgenstein, Ludwig",2,4.06,4,Routledge,144,100,1921,1920,10/30/08,read,
Zettel,"Wittgenstein, Ludwig",3,4.15,4,University of California Press,256,300,1967,1970,10/30/08,read,
"Lectures and Conversations on Aesthetics, Psychology and Religious Belief","Wittgenstein, Ludwig",3,3.74,4,University of California Press,72,70,1929,1930,10/30/08,read,
Culture and Value,"Wittgenstein, Ludwig",4,4.05,4,University of Chicago Press,195,200,1977,1980,10/30/08,read,
To the Lighthouse,"Woolf, Virginia",5,3.73,4,Harvest Books,209,200,1927,1930,4/9/08,read,
Mrs. Dalloway,"Woolf, Virginia",3,3.76,4,Houghton Mifflin Harcourt,216,200,1925,1930,4/9/08,read,
Orlando,"Woolf, Virginia",4,3.81,4,Penguin Books,336,300,1928,1930,4/9/08,read,
Night and Day,"Woolf, Virginia",5,3.69,4,Penguin Books,496,500,1919,1920,4/9/08,read,
